Sample.Name,Panel,Marker,Meth.Level
SN001,Sperm_AR-CpG_Panel_I,cg01789162,0.122625215889465
SN001,Sperm_AR-CpG_Panel_I,cg03030301,0.379534380075799
SN001,Sperm_AR-CpG_Panel_I,cg03634854,0.299439252336449
SN001,Sperm_AR-CpG_Panel_I,cg04119405,0.530832803560076
SN001,Sperm_AR-CpG_Panel_I,cg11262154,0.889708737864078
SN001,Sperm_AR-CpG_Panel_I,cg18037145,0.700674870980548
SN001,Sperm_AR-CpG_Panel_I,cg19983027,0.0707343412526998
SN001,Sperm_AR-CpG_Panel_I,cg19998819,0.83840190816935
SN001,Sperm_AR-CpG_Panel_I,cg25715498,0.897429030530262
SN001,Sperm_AR-CpG_Panel_I,cg27111970,0.143322475570033
SN001,Sperm_AR-CpG_Panel_I,cg27231587,0.239804964539007
SN001,Sperm_AR-CpG_Panel_II,cg04123357,0.847270214236351
SN001,Sperm_AR-CpG_Panel_II,cg06304190,0.562325321408608
SN001,Sperm_AR-CpG_Panel_II,cg06979108,0.729593972373378
SN001,Sperm_AR-CpG_Panel_II,cg12277678,0.669559412550067
SN001,Sperm_AR-CpG_Panel_II,cg12837463,0.475838719606033
SN001,Sperm_AR-CpG_Panel_II,cg13872326,0.74746192893401
SN001,Sperm_AR-CpG_Panel_II,cg20602007,0.745629897528632
SN001,Sperm_AR-CpG_Panel_II,cg21843517,0.692125237191651
SN001,Sperm_AR-CpG_Panel_II,cg24812634,0.0386073767666322
SN001,Sperm_AR-CpG_Panel_II,cg25187042,0.731329690346084
