Sample.Name,Panel,Marker,Meth.Level
SN001,Sperm_AR-CpG_Panel_II,cg04123357,0.847270214236351
SN001,Sperm_AR-CpG_Panel_II,cg06304190,0.562325321408608
SN001,Sperm_AR-CpG_Panel_II,cg06979108,0.729593972373378
SN001,Sperm_AR-CpG_Panel_II,cg12277678,0.669559412550067
SN001,Sperm_AR-CpG_Panel_II,cg12837463,0.475838719606033
SN001,Sperm_AR-CpG_Panel_II,cg13872326,0.74746192893401
SN001,Sperm_AR-CpG_Panel_II,cg20602007,0.745629897528632
SN001,Sperm_AR-CpG_Panel_II,cg21843517,0.692125237191651
SN001,Sperm_AR-CpG_Panel_II,cg24812634,0.0386073767666322
SN001,Sperm_AR-CpG_Panel_II,cg25187042,0.731329690346084
